"","Mar1-July1","Aug207-Feb208","Aug17-Feb18","Mar18-July18","Aug18-Feb19","Mar19-July19","Aug19-Feb20","Mar20-July20","Aug20-Feb21","Mar21-July21","Aug21-Feb22"
"MO-096088",0.5,0.5,0.5,0.5,0.5,6.5,124.5,16.5,148.5,15.5,29.5
"MO-092089",0.5,0.5,0.5,0.5,83.5,34.5,76.5,7.5,29.5,7.5,0.5
"MO-048072",0.5,0.5,0.5,0.5,49.5,7.5,40.5,17.5,77.5,3.5,2.5
"MO-092090",0.5,0.5,0.5,0.5,78.5,20.5,63.5,14.5,8.5,4.5,0.5
"MO-092087",0.5,0.5,58.5,0.5,79.5,7.5,36.5,0.5,3.5,0.5,0.5
"MO-064075",1.5,0.5,0.5,3.5,69.5,8.5,43.5,1.5,26.5,10.5,5.5
"MO-096109",0.5,0.5,0.5,0.5,0.5,0.5,52.5,17.5,46.5,15.5,14.5
"MO-092091",0.5,0.5,0.5,0.5,0.5,0.5,36.5,14.5,67.5,7.5,6.5
"MO-115906",0.5,0.5,0.5,0.5,0.5,2.5,41.5,3.5,51.5,18.5,12.5
"MO-078012",0.5,0.5,0.5,2.5,23.5,27.5,32.5,5.5,13.5,5.5,4.5
"MO-078002",0.5,0.5,15.5,0.5,11.5,3.5,19.5,2.5,17.5,7.5,5.5
"MO-055110",0.5,0.5,0.5,0.5,66.5,3.5,6.5,0.5,0.5,0.5,0.5
"MO-107156",0.5,0.5,0.5,1.5,8.5,1.5,21.5,5.5,34.5,2.5,3.5
"MO-036126",0.5,0.5,38.5,0.5,10.5,3.5,17.5,1.5,3.5,0.5,0.5
"MO-041002",0.5,0.5,0.5,1.5,12.5,4.5,20.5,1.5,25.5,5.5,3.5
"MO-057004",0.5,0.5,0.5,0.5,16.5,9.5,37.5,2.5,3.5,0.5,0.5
"MO-100063",0.5,0.5,0.5,2.5,13.5,5.5,23.5,2.5,18.5,4.5,0.5
"MO-113001",0.5,0.5,0.5,0.5,8.5,0.5,20.5,1.5,32.5,2.5,4.5
"MO-014127",0.5,0.5,0.5,0.5,0.5,0.5,19.5,3.5,27.5,9.5,7.5
